date,Country,Moughataa/Department,Commune/Municipality,z_gpp,biomass_category
2020-01-01 00:00:00,Mauritania,Aioun,Aioun,"-2,01",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Aioun,Bennemane,"-2,07",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Aioun,Doueirare,"-2,03",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Aioun,Egjert,"-1,77",2. High decrease
2020-01-01 00:00:00,Mauritania,Aioun,N'Savenni,"-0,80",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aioun,Oum Lahyadh,"-0,78",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aioun,Tinhemmad,"-2,47",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Akjoujt,Akjoujt,"-0,21",3. Low decrease
2020-01-01 00:00:00,Mauritania,Akjoujt,Akjoujt 2,"-0,22",3. Low decrease
2020-01-01 00:00:00,Mauritania,Akjoujt,Bennechab,"-0,26",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aleg,Agchourguit,"-0,76",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aleg,Aleg,"-1,87",2. High decrease
2020-01-01 00:00:00,Mauritania,Aleg,Bouhdide,"-1,55",2. High decrease
2020-01-01 00:00:00,Mauritania,Aleg,Cheggar,"-0,76",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aleg,Djellewar,"-0,77",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aleg,Male,"-0,79",3. Low decrease
2020-01-01 00:00:00,Mauritania,Amourj,Adel Bagrou,"-1,55",2. High decrease
2020-01-01 00:00:00,Mauritania,Amourj,Amourj,"-1,70",2. High decrease
2020-01-01 00:00:00,Mauritania,Amourj,Bougadoum,"-1,77",2. High decrease
2020-01-01 00:00:00,Mauritania,Aoujeft,Aoujeft,"-0,76",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aoujeft,Aoujeft 2,"-0,18",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aoujeft,El Meddah,"-0,20",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aoujeft,Maeden,"-0,20",3. Low decrease
2020-01-01 00:00:00,Mauritania,Aoujeft,N'Teirguent,"-0,14",3. Low decrease
2020-01-01 00:00:00,Mauritania,Atar,Ain Ehel Taya,"-0,21",3. Low decrease
2020-01-01 00:00:00,Mauritania,Atar,Atar,"-0,22",3. Low decrease
2020-01-01 00:00:00,Mauritania,Atar,Choum,"-0,22",3. Low decrease
2020-01-01 00:00:00,Mauritania,Atar,Tawaz,"-0,22",3. Low decrease
2020-01-01 00:00:00,Mauritania,Bababé,Aere M'bar,"-2,02",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Bababé,Bababe,"-1,66",2. High decrease
2020-01-01 00:00:00,Mauritania,Bababé,El Varae,"-1,69",2. High decrease
2020-01-01 00:00:00,Mauritania,Barkéol,Barkeol,"-0,75",3. Low decrease
2020-01-01 00:00:00,Mauritania,Barkéol,Boulahrath,"-0,80",3. Low decrease
2020-01-01 00:00:00,Mauritania,Barkéol,Daghveg,"-0,80",3. Low decrease
2020-01-01 00:00:00,Mauritania,Barkéol,El Ghabra,"-0,80",3. Low decrease
2020-01-01 00:00:00,Mauritania,Barkéol,Gueller,"-0,79",3. Low decrease
2020-01-01 00:00:00,Mauritania,Barkéol,Laoueissi,"-0,80",3. Low decrease
2020-01-01 00:00:00,Mauritania,Barkéol,Lebheir,"-0,80",3. Low decrease
2020-01-01 00:00:00,Mauritania,Barkéol,Rdheidhie,"-0,80",3. Low decrease
2020-01-01 00:00:00,Mauritania,Bassikounou,Bassikounou,"-1,97",2. High decrease
2020-01-01 00:00:00,Mauritania,Bassikounou,Dhar,"-0,77",3. Low decrease
2020-01-01 00:00:00,Mauritania,Bassikounou,El Megve,"-2,03",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Bassikounou,Fassala,"-1,99",2. High decrease
2020-01-01 00:00:00,Mauritania,Bir Moghrein,Bir Mogrein,"-0,33",3. Low decrease
2020-01-01 00:00:00,Mauritania,Bir Moghrein,Bir Mogrein 2,"-0,26",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boghé,Boghe,"-2,03",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Boghé,Boghe 2,"-2,04",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Boghé,Dar El Avia,"-1,68",2. High decrease
2020-01-01 00:00:00,Mauritania,Boghé,Dar El Barka,"-1,76",2. High decrease
2020-01-01 00:00:00,Mauritania,Boghé,Wel Birem,"-1,62",2. High decrease
2020-01-01 00:00:00,Mauritania,Boumdeid,Boumdeid,"-0,80",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boumdeid,Boumdeid 2,"-0,14",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boumdeid,Hsey Tine,"-0,77",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boumdeid,Leftah,"-0,81",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boutilimit,Ajweir,"-0,75",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boutilimit,Boutilimit,"-0,27",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boutilimit,Boutilimit 2,"-0,17",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boutilimit,El Mouyessar,"-0,27",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boutilimit,Elb Adress,"-0,73",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boutilimit,Nebaghiye,"-0,75",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boutilimit,N'Teichet,"-0,76",3. Low decrease
2020-01-01 00:00:00,Mauritania,Boutilimit,Tenghadej,"-0,29",3. Low decrease
2020-01-01 00:00:00,Mauritania,Chinguetti,Ain Savra,"-0,17",3. Low decrease
2020-01-01 00:00:00,Mauritania,Chinguetti,Chinguity,"-0,21",3. Low decrease
2020-01-01 00:00:00,Mauritania,Chinguetti,Chinguity 3,"-0,18",3. Low decrease
2020-01-01 00:00:00,Mauritania,Chinguetti,Ouadane,"-0,21",3. Low decrease
2020-01-01 00:00:00,Mauritania,Chinguetti,Ouadane 2,"-0,78",3. Low decrease
2020-01-01 00:00:00,Mauritania,Djiguenni,Aoueinat Ezbel,"-1,79",2. High decrease
2020-01-01 00:00:00,Mauritania,Djiguenni,Beneamane,"-1,99",2. High decrease
2020-01-01 00:00:00,Mauritania,Djiguenni,Djigueni,"-2,45",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Djiguenni,Feirenni,"-2,11",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Djiguenni,Ghlig Ehel Beye,"-1,84",2. High decrease
2020-01-01 00:00:00,Mauritania,Djiguenni,Kasr El Barka,"-2,39",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Djiguenni,Mabrouk,"-2,33",1. Very high decrease
2020-01-01 00:00:00,Mauritania,F'Dérik,Fderik,"-0,26",3. Low decrease
2020-01-01 00:00:00,Mauritania,F'Dérik,Fderik 2,"-0,78",3. Low decrease
2020-01-01 00:00:00,Mauritania,Guérou,El Ghayra,"-0,79",3. Low decrease
2020-01-01 00:00:00,Mauritania,Guérou,Guerou,"-2,02",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Guérou,Guerrou 2,"-1,65",2. High decrease
2020-01-01 00:00:00,Mauritania,Guérou,Kamour,"-0,79",3. Low decrease
2020-01-01 00:00:00,Mauritania,Guérou,Oudei J'rid,"-0,79",3. Low decrease
2020-01-01 00:00:00,Mauritania,Kaédi,Djewol,"-2,45",1. Very high decrease
2020-01-01 00:00:00,Mauritania,Kaédi,Ganki,"-1,87",2. High decrease
